# Raman tensor in 10^(-30) Cm^2/V
# mode: 8   phonon freq: 3111.638698
# omega(eV)    xx        yy        zz        xy        yz        xz      perp      back
0.00000+0.00000j 9.944e-01+9.944e-01j 0.000e+00+0.000e+00j 0.000e+00+0.000e+00j 0.000e+00+0.000e+00j 0.000e+00+0.000e+00j 0.000e+00+0.000e+00j 1.989e+00+0.000e+00j 3.445e+00+0.000e+00j
0.00951+0.00000j 7.471e+00+0.000e+00j 0.000e+00+0.000e+00j 9.961e+00+0.000e+00j 0.000e+00+0.000e+00j 0.000e+00+0.000e+00j 0.000e+00+0.000e+00j 1.270e+01+0.000e+00j 3.504e+01+0.000e+00j
0.01902+0.00000j 7.471e+00+0.000e+00j 0.000e+00+0.000e+00j 8.715e+00+0.000e+00j 0.000e+00+0.000e+00j 0.000e+00+0.000e+00j 0.000e+00+0.000e+00j 1.155e+01+0.000e+00j 3.242e+01+0.000e+00j
0.02852+0.00000j 7.471e+00+0.000e+00j 0.000e+00+0.000e+00j 7.471e+00+0.000e+00j 0.000e+00+0.000e+00j 0.000e+00+0.000e+00j 0.000e+00+0.000e+00j 1.057e+01+0.000e+00j 2.988e+01+0.000e+00j
0.03803+0.00000j 7.471e+00+0.000e+00j 0.000e+00+0.000e+00j 7.471e+00+0.000e+00j 0.000e+00+0.000e+00j 0.000e+00+0.000e+00j 0.000e+00+0.000e+00j 1.057e+01+0.000e+00j 2.988e+01+0.000e+00j
0.04754+0.00000j 7.466e+00+0.000e+00j 0.000e+00+0.000e+00j 7.471e+00+0.000e+00j 0.000e+00+0.000e+00j 0.000e+00+0.000e+00j 0.000e+00+0.000e+00j 1.056e+01+0.000e+00j 2.987e+01+0.000e+00j
0.05705+0.00000j 6.227e+00+0.000e+00j 0.000e+00+0.000e+00j 7.471e+00+0.000e+00j 0.000e+00+0.000e+00j 0.000e+00+0.000e+00j 0.000e+00+0.000e+00j 9.805e+00+0.000e+00j 2.745e+01+0.000e+00j
0.06656+0.00000j 4.987e+00+0.000e+00j 0.000e+00+0.000e+00j 7.471e+00+0.000e+00j 0.000e+00+0.000e+00j 0.000e+00+0.000e+00j 0.000e+00+0.000e+00j 9.319e+00+0.000e+00j 2.516e+01+0.000e+00j
0.07607+0.00000j 4.980e+00+0.000e+00j 0.000e+00+0.000e+00j 7.471e+00+0.000e+00j 0.000e+00+0.000e+00j 0.000e+00+0.000e+00j 0.000e+00+0.000e+00j 9.318e+00+0.000e+00j 2.515e+01+0.000e+00j
0.08557+0.00000j 4.980e+00+0.000e+00j 0.000e+00+0.000e+00j 7.471e+00+0.000e+00j 0.000e+00+0.000e+00j 0.000e+00+0.000e+00j 0.000e+00+0.000e+00j 9.318e+00+0.000e+00j 2.515e+01+0.000e+00j
0.09508+0.00000j 4.980e+00+0.000e+00j 0.000e+00+0.000e+00j 7.471e+00+0.000e+00j 0.000e+00+0.000e+00j 0.000e+00+0.000e+00j 0.000e+00+0.000e+00j 9.318e+00+0.000e+00j 2.515e+01+0.000e+00j
0.10459+0.00000j 4.980e+00+0.000e+00j 0.000e+00+0.000e+00j 7.471e+00+0.000e+00j 0.000e+00+0.000e+00j 0.000e+00+0.000e+00j 0.000e+00+0.000e+00j 9.318e+00+0.000e+00j 2.515e+01+0.000e+00j
0.11410+0.00000j 6.224e+00+0.000e+00j 0.000e+00+0.000e+00j 8.714e+00+0.000e+00j 0.000e+00+0.000e+00j 0.000e+00+0.000e+00j 0.000e+00+0.000e+00j 1.099e+01+0.000e+00j 3.008e+01+0.000e+00j
0.12361+0.00000j 7.470e+00+0.000e+00j 0.000e+00+0.000e+00j 9.961e+00+0.000e+00j 0.000e+00+0.000e+00j 0.000e+00+0.000e+00j 0.000e+00+0.000e+00j 1.270e+01+0.000e+00j 3.504e+01+0.000e+00j
0.13311+0.00000j 6.225e+00+0.000e+00j 0.000e+00+0.000e+00j 9.928e+00-2.609e-02j 0.000e+00+0.000e+00j 0.000e+00+0.000e+00j 0.000e+00+0.000e+00j 1.229e+01+0.000e+00j 3.273e+01+0.000e+00j
0.14262+0.00000j 4.980e+00+0.000e+00j 0.000e+00+0.000e+00j 9.894e+00-5.215e-02j 0.000e+00+0.000e+00j 0.000e+00+0.000e+00j 0.000e+00+0.000e+00j 1.212e+01+0.000e+00j 3.055e+01+0.000e+00j
