  # energy grid [eV]     epsr     epsi
       0.001000      -0.000593       0.000001
       0.031029      -0.000593       0.000001
       0.061058      -0.000593       0.000001
       0.091087      -0.000593       0.000001
       0.121116      -0.000593       0.000001
       0.151145      -0.000593       0.000001
       0.181174      -0.000593       0.000001
       0.211203      -0.000593       0.000001
       0.241232      -0.000593       0.000001
       0.271261      -0.000593       0.000001
       0.301290      -0.000592       0.000001
       0.331319      -0.000592       0.000001
       0.361348      -0.000592       0.000001
       0.391377      -0.000592       0.000001
       0.421406      -0.000592       0.000001
       0.451435      -0.000592       0.000001
       0.481464      -0.000592       0.000001
       0.511493      -0.000591       0.000001
       0.541523      -0.000591       0.000001
       0.571552      -0.000591       0.000001
       0.601581      -0.000591       0.000002
       0.631610      -0.000590       0.000002
       0.661639      -0.000590       0.000002
       0.691668      -0.000590       0.000002
       0.721697      -0.000590       0.000002
       0.751726      -0.000589       0.000002
       0.781755      -0.000589       0.000002
       0.811784      -0.000588       0.000002
       0.841813      -0.000588       0.000002
       0.871842      -0.000588       0.000002
       0.901871      -0.000587       0.000002
       0.931900      -0.000587       0.000002
       0.961929      -0.000586       0.000003
       0.991958      -0.000586       0.000003
       1.021987      -0.000585       0.000003
       1.052016      -0.000584       0.000003
       1.082045      -0.000584       0.000003
       1.112074      -0.000583       0.000003
       1.142103      -0.000582       0.000003
       1.172132      -0.000581       0.000003
       1.202161      -0.000581       0.000004
       1.232190      -0.000580       0.000004
       1.262219      -0.000579       0.000004
       1.292248      -0.000578       0.000004
       1.322277      -0.000577       0.000004
       1.352306      -0.000576       0.000005
       1.382335      -0.000574       0.000005
       1.412364      -0.000573       0.000005
       1.442393      -0.000572       0.000005
       1.472422      -0.000570       0.000006
       1.502451      -0.000569       0.000006
       1.532480      -0.000567       0.000006
       1.562510      -0.000566       0.000006
       1.592539      -0.000564       0.000007
       1.622568      -0.000562       0.000007
       1.652597      -0.000560       0.000008
       1.682626      -0.000558       0.000008
       1.712655      -0.000556       0.000008
       1.742684      -0.000553       0.000009
       1.772713      -0.000551       0.000009
       1.802742      -0.000548       0.000010
       1.832771      -0.000545       0.000010
       1.862800      -0.000542       0.000011
       1.892829      -0.000539       0.000012
       1.922858      -0.000536       0.000012
       1.952887      -0.000532       0.000013
       1.982916      -0.000529       0.000014
       2.012945      -0.000525       0.000015
       2.042974      -0.000520       0.000015
       2.073003      -0.000516       0.000016
       2.103032      -0.000511       0.000017
       2.133061      -0.000506       0.000018
       2.163090      -0.000501       0.000020
       2.193119      -0.000495       0.000021
       2.223148      -0.000489       0.000022
       2.253177      -0.000482       0.000023
       2.283206      -0.000475       0.000025
       2.313235      -0.000468       0.000027
       2.343264      -0.000460       0.000028
       2.373293      -0.000452       0.000030
       2.403322      -0.000443       0.000032
       2.433351      -0.000433       0.000034
       2.463380      -0.000423       0.000037
       2.493409      -0.000412       0.000039
       2.523438      -0.000400       0.000042
       2.553467      -0.000387       0.000045
       2.583496      -0.000374       0.000049
       2.613526      -0.000359       0.000052
       2.643555      -0.000344       0.000056
       2.673584      -0.000327       0.000061
       2.703613      -0.000309       0.000065
       2.733642      -0.000289       0.000071
       2.763671      -0.000268       0.000076
       2.793700      -0.000245       0.000083
       2.823729      -0.000220       0.000090
       2.853758      -0.000193       0.000098
       2.883787      -0.000163       0.000107
       2.913816      -0.000131       0.000117
       2.943845      -0.000096       0.000128
       2.973874      -0.000058       0.000141
       3.003903      -0.000016       0.000155
       3.033932       0.000030       0.000171
       3.063961       0.000081       0.000189
       3.093990       0.000137       0.000211
       3.124019       0.000200       0.000235
       3.154048       0.000269       0.000264
       3.184077       0.000347       0.000297
       3.214106       0.000434       0.000337
       3.244135       0.000532       0.000384
       3.274164       0.000643       0.000440
       3.304193       0.000769       0.000508
       3.334222       0.000913       0.000591
       3.364251       0.001079       0.000695
       3.394280       0.001271       0.000826
       3.424309       0.001497       0.000996
       3.454338       0.001766       0.001224
       3.484367       0.002078       0.001550
       3.514396       0.002412       0.002030
       3.544425       0.002701       0.002717
       3.574454       0.002825       0.003638
       3.604483       0.002613       0.004721
       3.634513       0.001976       0.005714
       3.664542       0.001132       0.006385
       3.694571       0.000340       0.006870
       3.724600      -0.000490       0.007398
       3.754629      -0.001612       0.007894
       3.784658      -0.003015       0.008022
       3.814687      -0.004333       0.007687
       3.844716      -0.005417       0.007188
       3.874745      -0.006489       0.006638
       3.904774      -0.007647       0.005818
       3.934803      -0.008685       0.004548
       3.964832      -0.009385       0.002819
       3.994861      -0.009327       0.000602
       4.024890      -0.007887      -0.001405
       4.054919      -0.005565      -0.001909
       4.084948      -0.003946      -0.000730
       4.114977      -0.004004       0.000836
       4.145006      -0.005114       0.001417
       4.175035      -0.006106       0.000940
       4.205064      -0.006518       0.000058
       4.235093      -0.006619      -0.000877
       4.265122      -0.006281      -0.002123
       4.295151      -0.004878      -0.003096
       4.325180      -0.003138      -0.002592
       4.355209      -0.002709      -0.001208
       4.385238      -0.003180      -0.000580
       4.415267      -0.003409      -0.000366
       4.445296      -0.003822      -0.000110
       4.475325      -0.004323      -0.000371
       4.505354      -0.004308      -0.000799
       4.535383      -0.004136      -0.000869
       4.565412      -0.004151      -0.000870
       4.595441      -0.004126      -0.000850
       4.625470      -0.004457      -0.000669
       4.655499      -0.005124      -0.001277
       4.685529      -0.004681      -0.002474
       4.715558      -0.003385      -0.002574
       4.745587      -0.002843      -0.001751
       4.775616      -0.002948      -0.001308
       4.805645      -0.002660      -0.001010
       4.835674      -0.002531       0.000177
       4.865703      -0.003874       0.001517
       4.895732      -0.006229       0.001317
       4.925761      -0.007759      -0.000669
       4.955790      -0.007499      -0.002979
       4.985819      -0.006036      -0.004409
       5.015848      -0.004110      -0.004503
       5.045877      -0.003021      -0.003051
       5.075906      -0.003862      -0.001765
       5.105935      -0.005017      -0.002152
       5.135964      -0.005023      -0.003051
       5.165993      -0.004464      -0.003286
       5.196022      -0.004183      -0.002862
       5.226051      -0.004707      -0.002309
       5.256080      -0.005864      -0.002578
       5.286109      -0.006459      -0.003909
       5.316138      -0.005936      -0.005144
       5.346167      -0.005126      -0.005654
       5.376196      -0.004442      -0.005846
       5.406225      -0.003734      -0.005688
       5.436254      -0.003529      -0.004996
       5.466283      -0.004253      -0.004591
       5.496312      -0.005190      -0.005131
