  # energy grid [eV]     epsr     epsi
       0.001000       6.549204       0.000031
       0.031029       6.549356       0.000977
       0.061058       6.549790       0.001924
       0.091087       6.550509       0.002871
       0.121116       6.551512       0.003819
       0.151145       6.552799       0.004769
       0.181174       6.554372       0.005722
       0.211203       6.556230       0.006677
       0.241232       6.558375       0.007635
       0.271261       6.560808       0.008596
       0.301290       6.563530       0.009561
       0.331319       6.566541       0.010531
       0.361348       6.569844       0.011505
       0.391377       6.573440       0.012485
       0.421406       6.577330       0.013470
       0.451435       6.581516       0.014462
       0.481464       6.586001       0.015460
       0.511493       6.590786       0.016466
       0.541523       6.595874       0.017479
       0.571552       6.601266       0.018500
       0.601581       6.606966       0.019530
       0.631610       6.612976       0.020569
       0.661639       6.619299       0.021619
       0.691668       6.625938       0.022678
       0.721697       6.632896       0.023749
       0.751726       6.640176       0.024831
       0.781755       6.647783       0.025925
       0.811784       6.655719       0.027032
       0.841813       6.663989       0.028153
       0.871842       6.672597       0.029287
       0.901871       6.681547       0.030437
       0.931900       6.690844       0.031602
       0.961929       6.700492       0.032783
       0.991958       6.710497       0.033982
       1.021987       6.720863       0.035198
       1.052016       6.731596       0.036433
       1.082045       6.742703       0.037688
       1.112074       6.754187       0.038962
       1.142103       6.766057       0.040259
       1.172132       6.778319       0.041577
       1.202161       6.790978       0.042919
       1.232190       6.804043       0.044286
       1.262219       6.817521       0.045677
       1.292248       6.831420       0.047096
       1.322277       6.845747       0.048542
       1.352306       6.860511       0.050017
       1.382335       6.875722       0.051523
       1.412364       6.891388       0.053060
       1.442393       6.907518       0.054630
       1.472422       6.924124       0.056235
       1.502451       6.941215       0.057877
       1.532480       6.958803       0.059556
       1.562510       6.976899       0.061274
       1.592539       6.995515       0.063035
       1.622568       7.014664       0.064838
       1.652597       7.034359       0.066687
       1.682626       7.054614       0.068584
       1.712655       7.075443       0.070530
       1.742684       7.096862       0.072529
       1.772713       7.118886       0.074582
       1.802742       7.141532       0.076693
       1.832771       7.164818       0.078864
       1.862800       7.188762       0.081098
       1.892829       7.213383       0.083399
       1.922858       7.238701       0.085770
       1.952887       7.264738       0.088214
       1.982916       7.291516       0.090736
       2.012945       7.319059       0.093339
       2.042974       7.347391       0.096028
       2.073003       7.376539       0.098808
       2.103032       7.406530       0.101684
       2.133061       7.437393       0.104661
       2.163090       7.469160       0.107744
       2.193119       7.501862       0.110941
       2.223148       7.535534       0.114257
       2.253177       7.570212       0.117701
       2.283206       7.605935       0.121279
       2.313235       7.642745       0.125000
       2.343264       7.680684       0.128874
       2.373293       7.719799       0.132909
       2.403322       7.760138       0.137118
       2.433351       7.801756       0.141511
       2.463380       7.844707       0.146102
       2.493409       7.889052       0.150903
       2.523438       7.934854       0.155931
       2.553467       7.982183       0.161201
       2.583496       8.031111       0.166733
       2.613526       8.081719       0.172547
       2.643555       8.134091       0.178664
       2.673584       8.188319       0.185110
       2.703613       8.244503       0.191912
       2.733642       8.302751       0.199100
       2.763671       8.363178       0.206710
       2.793700       8.425913       0.214780
       2.823729       8.491093       0.223352
       2.853758       8.558870       0.232477
       2.883787       8.629410       0.242210
       2.913816       8.702894       0.252616
