  # energy grid [eV]     epsr     epsi
       0.001000       0.000259      -0.000001
       0.031029       0.000259      -0.000000
       0.061058       0.000259      -0.000000
       0.091087       0.000259       0.000000
       0.121116       0.000260       0.000001
       0.151145       0.000260       0.000001
       0.181174       0.000261       0.000001
       0.211203       0.000262       0.000002
       0.241232       0.000262       0.000002
       0.271261       0.000263       0.000002
       0.301290       0.000264       0.000003
       0.331319       0.000266       0.000003
       0.361348       0.000267       0.000004
       0.391377       0.000268       0.000004
       0.421406       0.000270       0.000004
       0.451435       0.000271       0.000005
       0.481464       0.000273       0.000005
       0.511493       0.000275       0.000006
       0.541523       0.000277       0.000006
       0.571552       0.000279       0.000006
       0.601581       0.000281       0.000007
       0.631610       0.000283       0.000007
       0.661639       0.000286       0.000008
       0.691668       0.000288       0.000008
       0.721697       0.000291       0.000009
       0.751726       0.000294       0.000009
       0.781755       0.000297       0.000009
       0.811784       0.000300       0.000010
       0.841813       0.000303       0.000010
       0.871842       0.000307       0.000011
       0.901871       0.000310       0.000011
       0.931900       0.000314       0.000012
       0.961929       0.000318       0.000012
       0.991958       0.000322       0.000013
       1.021987       0.000326       0.000014
       1.052016       0.000331       0.000014
       1.082045       0.000335       0.000015
       1.112074       0.000340       0.000015
       1.142103       0.000345       0.000016
       1.172132       0.000350       0.000017
       1.202161       0.000356       0.000017
       1.232190       0.000361       0.000018
       1.262219       0.000367       0.000019
       1.292248       0.000373       0.000019
       1.322277       0.000379       0.000020
       1.352306       0.000385       0.000021
       1.382335       0.000392       0.000022
       1.412364       0.000399       0.000023
       1.442393       0.000406       0.000023
       1.472422       0.000413       0.000024
       1.502451       0.000421       0.000025
       1.532480       0.000429       0.000026
       1.562510       0.000437       0.000027
       1.592539       0.000446       0.000028
       1.622568       0.000455       0.000029
       1.652597       0.000464       0.000030
       1.682626       0.000473       0.000032
       1.712655       0.000483       0.000033
       1.742684       0.000494       0.000034
       1.772713       0.000504       0.000035
       1.802742       0.000515       0.000037
       1.832771       0.000527       0.000038
       1.862800       0.000539       0.000040
       1.892829       0.000551       0.000041
       1.922858       0.000564       0.000043
       1.952887       0.000577       0.000045
       1.982916       0.000591       0.000046
       2.012945       0.000605       0.000048
       2.042974       0.000620       0.000050
       2.073003       0.000636       0.000052
       2.103032       0.000652       0.000054
       2.133061       0.000669       0.000057
       2.163090       0.000686       0.000059
       2.193119       0.000704       0.000062
       2.223148       0.000723       0.000064
       2.253177       0.000743       0.000067
       2.283206       0.000764       0.000070
       2.313235       0.000785       0.000073
       2.343264       0.000808       0.000076
       2.373293       0.000831       0.000080
       2.403322       0.000856       0.000084
       2.433351       0.000882       0.000088
       2.463380       0.000908       0.000092
       2.493409       0.000937       0.000096
       2.523438       0.000966       0.000101
       2.553467       0.000997       0.000106
       2.583496       0.001029       0.000111
       2.613526       0.001063       0.000117
       2.643555       0.001099       0.000123
       2.673584       0.001137       0.000130
       2.703613       0.001177       0.000137
       2.733642       0.001218       0.000144
       2.763671       0.001263       0.000152
       2.793700       0.001309       0.000161
       2.823729       0.001358       0.000171
       2.853758       0.001411       0.000181
       2.883787       0.001466       0.000192
       2.913816       0.001524       0.000205
       2.943845       0.001587       0.000218
       2.973874       0.001653       0.000232
       3.003903       0.001724       0.000248
       3.033932       0.001799       0.000266
       3.063961       0.001880       0.000285
       3.093990       0.001967       0.000306
       3.124019       0.002059       0.000330
       3.154048       0.002159       0.000357
       3.184077       0.002267       0.000386
       3.214106       0.002383       0.000420
       3.244135       0.002509       0.000458
       3.274164       0.002646       0.000501
       3.304193       0.002795       0.000552
       3.334222       0.002957       0.000610
       3.364251       0.003133       0.000680
       3.394280       0.003323       0.000763
       3.424309       0.003524       0.000861
       3.454338       0.003731       0.000973
       3.484367       0.003942       0.001084
       3.514396       0.004177       0.001173
       3.544425       0.004477       0.001241
       3.574454       0.004880       0.001310
       3.604483       0.005437       0.001418
       3.634513       0.006204       0.001679
       3.664542       0.007098       0.002277
       3.694571       0.007915       0.003245
       3.724600       0.008563       0.004512
       3.754629       0.008967       0.006092
       3.784658       0.008946       0.007943
       3.814687       0.008337       0.009913
       3.844716       0.006930       0.011658
       3.874745       0.005064       0.012398
       3.904774       0.004051       0.012369
       3.934803       0.003707       0.013227
       3.964832       0.002177       0.014882
       3.994861      -0.000840       0.015294
       4.024890      -0.003201       0.013454
       4.054919      -0.003144       0.011221
       4.084948      -0.001726       0.010825
       4.114977      -0.001136       0.012199
       4.145006      -0.001886       0.013736
       4.175035      -0.003283       0.015126
       4.205064      -0.005810       0.016218
       4.235093      -0.008886       0.015799
       4.265122      -0.011207       0.014494
       4.295151      -0.013449       0.013034
       4.325180      -0.015675       0.010345
       4.355209      -0.016199       0.006597
       4.385238      -0.014998       0.003701
       4.415267      -0.013446       0.001884
       4.445296      -0.011615       0.000741
       4.475325      -0.009844       0.000627
       4.505354      -0.008776       0.001030
       4.535383      -0.008052       0.001347
       4.565412      -0.007245       0.001918
       4.595441      -0.006867       0.003112
       4.625470      -0.007374       0.004394
       4.655499      -0.008507       0.005310
       4.685529      -0.010044       0.005804
       4.715558      -0.011936       0.005937
       4.745587      -0.014612       0.005466
       4.775616      -0.017803       0.003012
       4.805645      -0.019110      -0.001828
       4.835674      -0.017083      -0.006272
       4.865703      -0.013943      -0.008303
       4.895732      -0.011373      -0.009053
       4.925761      -0.008975      -0.009378
       4.955790      -0.006523      -0.008778
       4.985819      -0.005062      -0.007097
       5.015848      -0.005112      -0.005696
       5.045877      -0.005477      -0.005432
       5.075906      -0.005336      -0.005573
       5.105935      -0.004915      -0.005648
       5.135964      -0.004344      -0.005503
       5.165993      -0.003923      -0.005143
       5.196022      -0.003601      -0.004755
       5.226051      -0.003441      -0.004174
       5.256080      -0.003752      -0.003692
       5.286109      -0.004129      -0.003758
       5.316138      -0.004044      -0.003968
       5.346167      -0.003761      -0.003792
       5.376196      -0.003867      -0.003172
       5.406225      -0.004839      -0.002846
       5.436254      -0.005866      -0.003665
       5.466283      -0.005900      -0.004991
       5.496312      -0.005199      -0.005836
       5.526341      -0.004473      -0.006034
       5.556370      -0.004200      -0.005967
       5.586399      -0.004274      -0.006219
       5.616428      -0.004202      -0.006958
       5.646457      -0.003539      -0.007911
       5.676486      -0.002280      -0.008496
       5.706516      -0.000852      -0.008478
       5.736545       0.000448      -0.007913
       5.766574       0.001386      -0.006935
       5.796603       0.001825      -0.005777
       5.826632       0.001780      -0.004721
       5.856661       0.001431      -0.003903
       5.886690       0.000803      -0.003412
       5.916719       0.000194      -0.003525
       5.946748       0.000170      -0.003914
       5.976777       0.000502      -0.003927
       6.006806       0.000649      -0.003660
       6.036835       0.000621      -0.003507
       6.066864       0.000767      -0.003483
       6.096893       0.001106      -0.003147
       6.126922       0.001068      -0.002433
       6.156951       0.000452      -0.001950
       6.186980      -0.000263      -0.002084
       6.217009      -0.000546      -0.002631
       6.247038      -0.000311      -0.003042
       6.277067       0.000035      -0.003028
       6.307096       0.000111      -0.002766
       6.337125      -0.000133      -0.002645
       6.367154      -0.000351      -0.002870
       6.397183      -0.000275      -0.003194
       6.427212      -0.000020      -0.003354
       6.457241       0.000198      -0.003363
       6.487270       0.000372      -0.003368
       6.517299       0.000586      -0.003354
       6.547328       0.000828      -0.003241
       6.577357       0.000972      -0.002985
       6.607386       0.000872      -0.002758
       6.637415       0.000697      -0.002814
       6.667444       0.000774      -0.003050
       6.697473       0.001086      -0.003140
       6.727503       0.001402      -0.003045
       6.757532       0.001702      -0.002845
       6.787561       0.001938      -0.002469
       6.817590       0.001930      -0.002004
       6.847619       0.001715      -0.001670
       6.877648       0.001456      -0.001507
       6.907677       0.001215      -0.001451
       6.937706       0.000994      -0.001478
       6.967735       0.000794      -0.001594
       6.997764       0.000653      -0.001844
       7.027793       0.000723      -0.002217
       7.057822       0.001090      -0.002479
       7.087851       0.001536      -0.002433
       7.117880       0.001832      -0.002205
       7.147909       0.002015      -0.001958
       7.177938       0.002143      -0.001666
       7.207967       0.002130      -0.001336
       7.237996       0.001971      -0.001120
       7.268025       0.001829      -0.001083
       7.298054       0.001830      -0.001108
       7.328083       0.001922      -0.001059
       7.358112       0.002007      -0.000929
       7.388141       0.002052      -0.000773
       7.418170       0.002089      -0.000607
       7.448199       0.002107      -0.000403
       7.478228       0.002067      -0.000169
       7.508257       0.001949       0.000055
       7.538286       0.001761       0.000216
       7.568315       0.001545       0.000259
       7.598344       0.001439       0.000165
       7.628373       0.001539       0.000128
       7.658402       0.001656       0.000308
       7.688431       0.001608       0.000576
       7.718460       0.001432       0.000768
       7.748489       0.001249       0.000832
       7.778519       0.001169       0.000836
       7.808548       0.001197       0.000890
       7.838577       0.001314       0.001080
       7.868606       0.001388       0.001589
       7.898635       0.001005       0.002376
       7.928664      -0.000105       0.002917
       7.958693      -0.001547       0.002487
       7.988722      -0.002296       0.001137
       8.018751      -0.001993      -0.000268
       8.048780      -0.000854      -0.001117
       8.078809       0.000581      -0.000815
       8.108838       0.001202       0.000497
       8.138867       0.000616       0.001740
       8.168896      -0.000569       0.002152
       8.198925      -0.001568       0.001781
       8.228954      -0.002175       0.001145
       8.258983      -0.002552       0.000261
       8.289012      -0.002281      -0.000847
       8.319041      -0.001306      -0.001359
       8.349070      -0.000624      -0.001050
       8.379099      -0.000550      -0.000841
       8.409128      -0.000305      -0.001085
       8.439157       0.000560      -0.001054
       8.469186       0.001337      -0.000097
       8.499215       0.001202       0.001217
       8.529244       0.000385       0.002127
       8.559273      -0.000642       0.002451
       8.589302      -0.001454       0.002347
       8.619331      -0.002011       0.002248
       8.649360      -0.002699       0.002309
       8.679389      -0.003814       0.002094
       8.709418      -0.004827       0.001141
       8.739447      -0.005263      -0.000093
       8.769476      -0.005242      -0.001364
       8.799506      -0.004699      -0.002373
       8.829535      -0.004119      -0.002885
       8.859564      -0.003763      -0.003277
       8.889593      -0.003448      -0.003813
       8.919622      -0.002850      -0.004441
       8.949651      -0.001939      -0.004742
