  # energy grid [eV]     epsr     epsi
       0.001000       6.548643       0.000031
       0.031029       6.548794       0.000977
       0.061058       6.549229       0.001924
       0.091087       6.549947       0.002871
       0.121116       6.550950       0.003819
       0.151145       6.552238       0.004770
       0.181174       6.553810       0.005722
       0.211203       6.555669       0.006677
       0.241232       6.557814       0.007635
       0.271261       6.560247       0.008596
       0.301290       6.562968       0.009562
       0.331319       6.565980       0.010531
       0.361348       6.569283       0.011506
       0.391377       6.572879       0.012485
       0.421406       6.576769       0.013471
       0.451435       6.580956       0.014463
       0.481464       6.585441       0.015461
       0.511493       6.590226       0.016466
       0.541523       6.595314       0.017480
       0.571552       6.600707       0.018501
       0.601581       6.606407       0.019531
       0.631610       6.612417       0.020571
       0.661639       6.618741       0.021620
       0.691668       6.625380       0.022680
       0.721697       6.632338       0.023750
       0.751726       6.639619       0.024832
       0.781755       6.647226       0.025927
       0.811784       6.655163       0.027034
       0.841813       6.663434       0.028155
       0.871842       6.672042       0.029289
       0.901871       6.680993       0.030439
       0.931900       6.690290       0.031604
       0.961929       6.699939       0.032786
       0.991958       6.709945       0.033984
       1.021987       6.720312       0.035201
       1.052016       6.731046       0.036436
       1.082045       6.742153       0.037690
       1.112074       6.753638       0.038965
       1.142103       6.765509       0.040262
       1.172132       6.777772       0.041581
       1.202161       6.790432       0.042923
       1.232190       6.803498       0.044289
       1.262219       6.816977       0.045681
       1.292248       6.830877       0.047100
       1.322277       6.845206       0.048546
       1.352306       6.859971       0.050022
       1.382335       6.875183       0.051527
       1.412364       6.890850       0.053065
       1.442393       6.906983       0.054636
       1.472422       6.923590       0.056241
       1.502451       6.940683       0.057883
       1.532480       6.958273       0.059562
       1.562510       6.976371       0.061281
       1.592539       6.994989       0.063042
       1.622568       7.014140       0.064846
       1.652597       7.033837       0.066695
       1.682626       7.054095       0.068592
       1.712655       7.074926       0.070539
       1.742684       7.096348       0.072538
       1.772713       7.118375       0.074592
       1.802742       7.141024       0.076703
       1.832771       7.164313       0.078875
       1.862800       7.188260       0.081110
       1.892829       7.212884       0.083411
       1.922858       7.238206       0.085783
       1.952887       7.264247       0.088228
       1.982916       7.291030       0.090750
       2.012945       7.318577       0.093355
       2.042974       7.346914       0.096045
       2.073003       7.376067       0.098826
       2.103032       7.406063       0.101702
       2.133061       7.436932       0.104680
       2.163090       7.468704       0.107765
       2.193119       7.501413       0.110963
       2.223148       7.535091       0.114281
       2.253177       7.569777       0.117726
       2.283206       7.605508       0.121305
       2.313235       7.642325       0.125028
       2.343264       7.680273       0.128904
       2.373293       7.719397       0.132942
       2.403322       7.759747       0.137152
       2.433351       7.801374       0.141548
       2.463380       7.844337       0.146141
       2.493409       7.888693       0.150945
       2.523438       7.934508       0.155975
       2.553467       7.981850       0.161249
       2.583496       8.030793       0.166785
       2.613526       8.081417       0.172602
       2.643555       8.133805       0.178723
       2.673584       8.188052       0.185174
       2.703613       8.244255       0.191981
       2.733642       8.302524       0.199175
       2.763671       8.362974       0.206791
       2.793700       8.425733       0.214867
       2.823729       8.490940       0.223447
       2.853758       8.558746       0.232580
       2.883787       8.629316       0.242323
       2.913816       8.702834       0.252738
       2.943845       8.779500       0.263901
       2.973874       8.859537       0.275896
       3.003903       8.943191       0.288821
       3.033932       9.030737       0.302794
       3.063961       9.122481       0.317951
       3.093990       9.218769       0.334455
       3.124019       9.319988       0.352504
       3.154048       9.426578       0.372337
       3.184077       9.539039       0.394249
       3.214106       9.657938       0.418612
       3.244135       9.783925       0.445897
       3.274164       9.917738       0.476717
       3.304193      10.060203       0.511887
       3.334222      10.212220       0.552502
       3.364251      10.374688       0.600065
       3.394280      10.548316       0.656595
       3.424309      10.733237       0.724599
       3.454338      10.928623       0.806461
       3.484367      11.133563       0.903275
       3.514396      11.349851       1.016295
       3.544425      11.579668       1.152717
       3.574454      11.815630       1.323313
       3.604483      12.039960       1.527984
       3.634513      12.243093       1.746548
       3.664542      12.444745       1.960802
       3.694571      12.670516       2.183897
       3.724600      12.925973       2.441078
       3.754629      13.205253       2.759585
       3.784658      13.482423       3.166886
       3.814687      13.713642       3.673119
       3.844716      13.844602       4.262075
       3.874745      13.834352       4.868344
       3.904774      13.718834       5.410048
       3.934803      13.579129       5.887596
       3.964832      13.424408       6.360756
       3.994861      13.200892       6.828600
       4.024890      12.911846       7.222295
       4.054919      12.638802       7.529642
       4.084948      12.412719       7.824625
       4.114977      12.183112       8.145039
       4.145006      11.919023       8.465733
       4.175035      11.630347       8.773472
       4.205064      11.304429       9.080963
       4.235093      10.906791       9.353251
       4.265122      10.476205       9.528221
       4.295151      10.088169       9.632093
       4.325180       9.725606       9.736006
       4.355209       9.323528       9.821256
       4.385238       8.889692       9.822184
       4.415267       8.478594       9.704644
       4.445296       8.170716       9.475839
       4.475325       8.025474       9.216743
       4.505354       8.019274       9.016388
       4.535383       8.102109       8.913221
       4.565412       8.234774       8.927446
       4.595441       8.367249       9.083100
       4.625470       8.411226       9.371645
       4.655499       8.300539       9.695343
       4.685529       8.092689       9.937237
       4.715558       7.918101      10.107553
       4.745587       7.800095      10.339633
       4.775616       7.599742      10.695121
       4.805645       7.197644      11.050141
       4.835674       6.656758      11.236846
       4.865703       6.137145      11.227006
       4.895732       5.734447      11.108518
       4.925761       5.453231      10.975678
       4.955790       5.264510      10.890360
       4.985819       5.107379      10.905593
       5.015848       4.880516      11.003306
       5.045877       4.551602      11.089925
       5.075906       4.163413      11.105470
       5.105935       3.765545      11.035158
       5.135964       3.401077      10.885814
       5.165993       3.112502      10.685888
       5.196022       2.915224      10.503823
       5.226051       2.750587      10.402028
       5.256080       2.524815      10.356840
       5.286109       2.220043      10.262955
       5.316138       1.937062      10.065805
       5.346167       1.761187       9.847513
       5.376196       1.643978       9.720769
       5.406225       1.453030       9.683960
       5.436254       1.137604       9.605433
       5.466283       0.799073       9.392447
       5.496312       0.543368       9.093886
       5.526341       0.372114       8.795641
       5.556370       0.235397       8.524632
       5.586399       0.107418       8.258215
       5.616428       0.000931       7.978802
       5.646457      -0.065397       7.694530
       5.676486      -0.086012       7.430791
       5.706516      -0.083884       7.215181
       5.736545      -0.104168       7.043047
       5.766574      -0.170506       6.866850
       5.796603      -0.250302       6.634509
       5.826632      -0.272224       6.349183
       5.856661      -0.201382       6.082351
       5.886690      -0.085046       5.902864
       5.916719      -0.005167       5.804079
       5.946748       0.007998       5.718765
       5.976777      -0.010036       5.601092
       6.006806      -0.020028       5.457496
       6.036835      -0.013939       5.311929
       6.066864      -0.004633       5.174179
       6.096893       0.000762       5.036036
       6.126922       0.008284       4.892554
       6.156951       0.019861       4.749643
       6.186980       0.023456       4.603664
       6.217009       0.026525       4.428536
       6.247038       0.070692       4.226090
       6.277067       0.170484       4.043566
       6.307096       0.289613       3.913016
       6.337125       0.390287       3.820230
       6.367154       0.467213       3.738063
       6.397183       0.528007       3.654710
       6.427212       0.578167       3.561246
       6.457241       0.633730       3.452116
       6.487270       0.708279       3.341888
       6.517299       0.793104       3.246982
       6.547328       0.872710       3.164690
       6.577357       0.945985       3.083010
       6.607386       1.020175       2.999375
       6.637415       1.097631       2.917154
       6.667444       1.177118       2.838074
       6.697473       1.256389       2.763419
       6.727503       1.327909       2.689448
       6.757532       1.394770       2.598477
       6.787561       1.482954       2.487491
       6.817590       1.605854       2.380991
       6.847619       1.751840       2.300249
       6.877648       1.900903       2.249857
       6.907677       2.039786       2.218952
       6.937706       2.171024       2.196883
       6.967735       2.297777       2.185461
       6.997764       2.413552       2.184446
       7.027793       2.515720       2.185297
       7.057822       2.607849       2.181579
       7.087851       2.695418       2.168933
       7.117880       2.786678       2.147595
       7.147909       2.885228       2.124087
       7.177938       2.986825       2.101094
       7.207967       3.090851       2.072613
       7.237996       3.205993       2.035499
       7.268025       3.341684       1.994330
       7.298054       3.505345       1.959777
       7.328083       3.696626       1.949240
       7.358112       3.901229       1.978055
       7.388141       4.097074       2.046932
       7.418170       4.270120       2.142493
       7.448199       4.418815       2.250828
       7.478228       4.545387       2.364103
       7.508257       4.650586       2.473644
