  # energy grid [eV]     epsr     epsi
       0.001000      -0.000351      -0.000001
       0.031029      -0.000351      -0.000002
       0.061058      -0.000351      -0.000002
       0.091087      -0.000352      -0.000002
       0.121116      -0.000352      -0.000002
       0.151145      -0.000352      -0.000002
       0.181174      -0.000352      -0.000003
       0.211203      -0.000353      -0.000003
       0.241232      -0.000353      -0.000003
       0.271261      -0.000354      -0.000003
       0.301290      -0.000354      -0.000003
       0.331319      -0.000355      -0.000004
       0.361348      -0.000355      -0.000004
       0.391377      -0.000356      -0.000004
       0.421406      -0.000357      -0.000004
       0.451435      -0.000358      -0.000004
       0.481464      -0.000359      -0.000005
       0.511493      -0.000360      -0.000005
       0.541523      -0.000361      -0.000005
       0.571552      -0.000362      -0.000005
       0.601581      -0.000363      -0.000006
       0.631610      -0.000364      -0.000006
       0.661639      -0.000366      -0.000006
       0.691668      -0.000367      -0.000006
       0.721697      -0.000369      -0.000006
       0.751726      -0.000370      -0.000007
       0.781755      -0.000372      -0.000007
       0.811784      -0.000373      -0.000007
       0.841813      -0.000375      -0.000007
       0.871842      -0.000377      -0.000008
       0.901871      -0.000379      -0.000008
       0.931900      -0.000381      -0.000008
       0.961929      -0.000383      -0.000009
       0.991958      -0.000385      -0.000009
       1.021987      -0.000387      -0.000009
       1.052016      -0.000390      -0.000009
       1.082045      -0.000392      -0.000010
       1.112074      -0.000395      -0.000010
       1.142103      -0.000397      -0.000010
       1.172132      -0.000400      -0.000011
       1.202161      -0.000403      -0.000011
       1.232190      -0.000406      -0.000011
       1.262219      -0.000409      -0.000012
       1.292248      -0.000412      -0.000012
       1.322277      -0.000415      -0.000012
       1.352306      -0.000418      -0.000013
       1.382335      -0.000422      -0.000013
       1.412364      -0.000425      -0.000014
       1.442393      -0.000429      -0.000014
       1.472422      -0.000433      -0.000015
       1.502451      -0.000437      -0.000015
       1.532480      -0.000441      -0.000015
       1.562510      -0.000445      -0.000016
       1.592539      -0.000450      -0.000016
       1.622568      -0.000454      -0.000017
       1.652597      -0.000459      -0.000018
       1.682626      -0.000464      -0.000018
       1.712655      -0.000469      -0.000019
       1.742684      -0.000474      -0.000019
       1.772713      -0.000479      -0.000020
       1.802742      -0.000485      -0.000021
       1.832771      -0.000491      -0.000021
       1.862800      -0.000497      -0.000022
       1.892829      -0.000503      -0.000023
       1.922858      -0.000510      -0.000023
       1.952887      -0.000516      -0.000024
       1.982916      -0.000523      -0.000025
       2.012945      -0.000530      -0.000026
       2.042974      -0.000538      -0.000027
       2.073003      -0.000546      -0.000028
       2.103032      -0.000554      -0.000029
       2.133061      -0.000562      -0.000030
       2.163090      -0.000571      -0.000031
       2.193119      -0.000580      -0.000032
       2.223148      -0.000589      -0.000034
       2.253177      -0.000599      -0.000035
       2.283206      -0.000609      -0.000036
       2.313235      -0.000620      -0.000038
       2.343264      -0.000631      -0.000039
       2.373293      -0.000642      -0.000041
       2.403322      -0.000654      -0.000043
       2.433351      -0.000667      -0.000045
       2.463380      -0.000680      -0.000047
       2.493409      -0.000694      -0.000049
       2.523438      -0.000708      -0.000051
       2.553467      -0.000723      -0.000053
       2.583496      -0.000739      -0.000056
       2.613526      -0.000755      -0.000059
       2.643555      -0.000773      -0.000062
       2.673584      -0.000791      -0.000065
       2.703613      -0.000810      -0.000068
       2.733642      -0.000830      -0.000072
       2.763671      -0.000852      -0.000076
       2.793700      -0.000874      -0.000080
       2.823729      -0.000898      -0.000085
       2.853758      -0.000923      -0.000090
       2.883787      -0.000950      -0.000095
       2.913816      -0.000979      -0.000101
       2.943845      -0.001009      -0.000108
       2.973874      -0.001041      -0.000115
       3.003903      -0.001076      -0.000123
       3.033932      -0.001112      -0.000132
       3.063961      -0.001152      -0.000142
       3.093990      -0.001194      -0.000154
       3.124019      -0.001240      -0.000166
       3.154048      -0.001290      -0.000180
       3.184077      -0.001343      -0.000197
       3.214106      -0.001402      -0.000215
       3.244135      -0.001465      -0.000237
       3.274164      -0.001535      -0.000262
       3.304193      -0.001611      -0.000292
       3.334222      -0.001695      -0.000327
       3.364251      -0.001787      -0.000370
       3.394280      -0.001889      -0.000422
       3.424309      -0.002000      -0.000486
       3.454338      -0.002119      -0.000563
       3.484367      -0.002252      -0.000654
       3.514396      -0.002409      -0.000765
       3.544425      -0.002591      -0.000925
       3.574454      -0.002771      -0.001161
       3.604483      -0.002902      -0.001467
       3.634513      -0.002957      -0.001804
       3.664542      -0.002950      -0.002126
       3.694571      -0.002926      -0.002423
       3.724600      -0.002920      -0.002727
       3.754629      -0.002923      -0.003109
       3.784658      -0.002835      -0.003615
       3.814687      -0.002518      -0.004170
       3.844716      -0.001913      -0.004541
       3.874745      -0.001303      -0.004429
       3.904774      -0.001264      -0.004085
       3.934803      -0.001678      -0.004264
       3.964832      -0.001818      -0.005083
       3.994861      -0.001328      -0.006048
       4.024890      -0.000371      -0.006740
       4.054919       0.000804      -0.007069
       4.084948       0.002103      -0.007037
       4.114977       0.003418      -0.006508
       4.145006       0.004419      -0.005478
       4.175035       0.004883      -0.004143
       4.205064       0.004494      -0.002860
       4.235093       0.003551      -0.002549
       4.265122       0.003290      -0.003199
       4.295151       0.004160      -0.003690
       4.325180       0.005510      -0.003142
       4.355209       0.006294      -0.001552
       4.385238       0.005886       0.000279
       4.415267       0.004521       0.001336
       4.445296       0.003202       0.001274
       4.475325       0.002610       0.000676
       4.505354       0.002750       0.000272
       4.535383       0.003045       0.000515
       4.565412       0.002887       0.001078
       4.595441       0.002328       0.001448
       4.625470       0.001649       0.001464
       4.655499       0.001063       0.001129
       4.685529       0.000822       0.000500
       4.715558       0.001145      -0.000020
       4.745587       0.001643       0.000025
       4.775616       0.001777       0.000396
       4.805645       0.001616       0.000604
       4.835674       0.001565       0.000626
       4.865703       0.001666       0.000863
       4.895732       0.001432       0.001350
       4.925761       0.000819       0.001551
       4.955790       0.000248       0.001366
       4.985819      -0.000117       0.000967
       5.015848      -0.000157       0.000528
       5.045877      -0.000025       0.000424
       5.075906      -0.000303       0.000496
       5.105935      -0.000777       0.000015
       5.135964      -0.000698      -0.000814
       5.165993      -0.000095      -0.001365
       5.196022       0.000641      -0.001423
       5.226051       0.001159      -0.001081
       5.256080       0.001312      -0.000660
       5.286109       0.001295      -0.000372
       5.316138       0.001226      -0.000132
       5.346167       0.001045       0.000067
       5.376196       0.000753       0.000117
       5.406225       0.000492      -0.000065
       5.436254       0.000426      -0.000383
       5.466283       0.000556      -0.000687
       5.496312       0.000852      -0.000938
       5.526341       0.001378      -0.001009
       5.556370       0.001920      -0.000630
       5.586399       0.002035       0.000035
