  # energy grid [eV]     epsr     epsi
       0.001000       6.125394       0.000028
       0.031029       6.125529       0.000870
       0.061058       6.125916       0.001712
       0.091087       6.126555       0.002555
       0.121116       6.127448       0.003399
       0.151145       6.128594       0.004245
       0.181174       6.129994       0.005093
       0.211203       6.131648       0.005942
       0.241232       6.133557       0.006795
       0.271261       6.135722       0.007650
       0.301290       6.138144       0.008509
       0.331319       6.140825       0.009372
       0.361348       6.143764       0.010239
       0.391377       6.146964       0.011110
       0.421406       6.150426       0.011987
       0.451435       6.154151       0.012869
       0.481464       6.158142       0.013756
       0.511493       6.162400       0.014650
       0.541523       6.166926       0.015551
       0.571552       6.171724       0.016459
       0.601581       6.176795       0.017374
       0.631610       6.182142       0.018298
       0.661639       6.187766       0.019230
       0.691668       6.193672       0.020172
       0.721697       6.199861       0.021122
       0.751726       6.206336       0.022083
       0.781755       6.213101       0.023055
       0.811784       6.220159       0.024038
       0.841813       6.227512       0.025032
       0.871842       6.235166       0.026039
       0.901871       6.243124       0.027059
       0.931900       6.251388       0.028092
       0.961929       6.259965       0.029140
       0.991958       6.268858       0.030202
       1.021987       6.278071       0.031280
       1.052016       6.287609       0.032374
       1.082045       6.297478       0.033486
       1.112074       6.307682       0.034615
       1.142103       6.318227       0.035762
       1.172132       6.329119       0.036929
       1.202161       6.340363       0.038117
       1.232190       6.351966       0.039325
       1.262219       6.363934       0.040556
       1.292248       6.376274       0.041810
       1.322277       6.388993       0.043088
       1.352306       6.402099       0.044391
       1.382335       6.415598       0.045721
       1.412364       6.429499       0.047078
       1.442393       6.443811       0.048464
       1.472422       6.458542       0.049880
       1.502451       6.473702       0.051328
       1.532480       6.489299       0.052808
       1.562510       6.505344       0.054323
       1.592539       6.521848       0.055873
       1.622568       6.538821       0.057461
       1.652597       6.556274       0.059089
       1.682626       6.574221       0.060757
       1.712655       6.592673       0.062469
       1.742684       6.611643       0.064226
       1.772713       6.631145       0.066030
       1.802742       6.651193       0.067883
       1.832771       6.671804       0.069789
       1.862800       6.692991       0.071749
       1.892829       6.714773       0.073767
       1.922858       6.737166       0.075845
       1.952887       6.760189       0.077986
       1.982916       6.783861       0.080193
       2.012945       6.808203       0.082471
       2.042974       6.833235       0.084822
       2.073003       6.858980       0.087252
       2.103032       6.885462       0.089763
       2.133061       6.912706       0.092361
       2.163090       6.940738       0.095050
       2.193119       6.969585       0.097835
       2.223148       6.999278       0.100723
       2.253177       7.029848       0.103720
       2.283206       7.061326       0.106831
       2.313235       7.093749       0.110064
       2.343264       7.127153       0.113426
       2.373293       7.161577       0.116925
       2.403322       7.197064       0.120571
       2.433351       7.233658       0.124373
       2.463380       7.271406       0.128341
       2.493409       7.310358       0.132487
       2.523438       7.350569       0.136823
       2.553467       7.392097       0.141363
       2.583496       7.435003       0.146122
       2.613526       7.479354       0.151116
       2.643555       7.525221       0.156362
       2.673584       7.572680       0.161882
       2.703613       7.621814       0.167696
       2.733642       7.672713       0.173830
       2.763671       7.725473       0.180310
       2.793700       7.780199       0.187166
       2.823729       7.837004       0.194432
       2.853758       7.896011       0.202147
       2.883787       7.957357       0.210354
       2.913816       8.021189       0.219100
       2.943845       8.087667       0.228441
       2.973874       8.156972       0.238441
       3.003903       8.229299       0.249172
       3.033932       8.304865       0.260718
       3.063961       8.383913       0.273176
       3.093990       8.466712       0.286662
       3.124019       8.553563       0.301310
       3.154048       8.644804       0.317281
       3.184077       8.740816       0.334768
       3.214106       8.842034       0.354007
       3.244135       8.948947       0.375286
       3.274164       9.062117       0.398969
       3.304193       9.182185       0.425513
       3.334222       9.309881       0.455513
       3.364251       9.446030       0.489754
       3.394280       9.591542       0.529292
       3.424309       9.747359       0.575572
       3.454338       9.914306       0.630571
       3.484367      10.092750       0.696891
       3.514396      10.282038       0.777498
       3.544425      10.480241       0.874637
       3.574454      10.685723       0.988784
       3.604483      10.898670       1.120707
       3.634513      11.118719       1.272119
       3.664542      11.347012       1.443944
       3.694571      11.585804       1.641024
       3.724600      11.835076       1.869048
       3.754629      12.097042       2.138538
       3.784658      12.362536       2.469314
       3.814687      12.605699       2.873614
       3.844716      12.790460       3.346631
       3.874745      12.887057       3.849031
       3.904774      12.918540       4.329285
       3.934803      12.939399       4.793622
       3.964832      12.954397       5.294146
       3.994861      12.916176       5.851178
       4.024890      12.785514       6.435990
       4.054919      12.564272       7.009269
       4.084948      12.264956       7.569333
       4.114977      11.853282       8.107710
       4.145006      11.313567       8.547113
       4.175035      10.721650       8.812456
       4.205064      10.195529       8.920571
       4.235093       9.794873       8.983210
       4.265122       9.454218       9.105936
       4.295151       9.067013       9.287894
       4.325180       8.567194       9.461408
       4.355209       7.946734       9.520447
       4.385238       7.277753       9.365746
       4.415267       6.705122       8.951944
       4.445296       6.402370       8.365582
       4.475325       6.419778       7.813595
       4.505354       6.640700       7.451457
       4.535383       6.922019       7.287282
       4.565412       7.213167       7.275175
       4.595441       7.492621       7.423797
       4.625470       7.680393       7.743280
       4.655499       7.681353       8.159968
       4.685529       7.489901       8.536898
       4.715558       7.205401       8.793893
       4.745587       6.923427       8.963225
       4.775616       6.646158       9.116992
       4.805645       6.311123       9.257186
       4.835674       5.903677       9.303939
       4.865703       5.508895       9.188970
       4.895732       5.256355       8.949648
       4.925761       5.199788       8.723029
       4.955790       5.274204       8.636538
       4.985819       5.353762       8.739297
       5.015848       5.307896       8.983776
       5.045877       5.083683       9.244453
       5.075906       4.725717       9.409623
       5.105935       4.336353       9.430258
       5.135964       4.013294       9.352770
       5.165993       3.768965       9.269417
       5.196022       3.544775       9.226385
       5.226051       3.284625       9.204672
       5.256080       2.967634       9.153045
       5.286109       2.621727       9.016633
       5.316138       2.311755       8.777789
       5.346167       2.104187       8.473484
       5.376196       2.013326       8.189685
       5.406225       1.974815       7.977442
       5.436254       1.940401       7.811352
       5.466283       1.913304       7.673518
       5.496312       1.885644       7.570968
       5.526341       1.839014       7.491991
       5.556370       1.776170       7.417903
       5.586399       1.705865       7.346265
       5.616428       1.627305       7.276545
       5.646457       1.548128       7.201017
       5.676486       1.486495       7.139113
       5.706516       1.408351       7.129055
       5.736545       1.247272       7.135526
       5.766574       1.013165       7.073252
       5.796603       0.780773       6.909339
       5.826632       0.613960       6.677299
       5.856661       0.530272       6.437610
       5.886690       0.501684       6.241146
       5.916719       0.475109       6.096860
       5.946748       0.422149       5.971182
       5.976777       0.355982       5.839634
       6.006806       0.285087       5.710243
       6.036835       0.190232       5.582008
       6.066864       0.063674       5.423682
       6.096893      -0.070867       5.207455
       6.126922      -0.177204       4.925841
       6.156951      -0.215631       4.595529
       6.186980      -0.168084       4.257590
       6.217009      -0.040485       3.946762
       6.247038       0.154293       3.696315
       6.277067       0.378128       3.537516
       6.307096       0.572074       3.466251
       6.337125       0.698918       3.434977
       6.367154       0.768056       3.392079
       6.397183       0.811128       3.311915
       6.427212       0.865346       3.189293
       6.457241       0.967324       3.047928
       6.487270       1.121442       2.936260
       6.517299       1.291075       2.886273
       6.547328       1.432291       2.888887
       6.577357       1.529499       2.910763
       6.607386       1.593455       2.931806
       6.637415       1.628178       2.949816
       6.667444       1.628361       2.951008
       6.697473       1.606986       2.914582
       6.727503       1.585526       2.833720
       6.757532       1.589537       2.707613
       6.787561       1.649030       2.560449
       6.817590       1.760162       2.434644
       6.847619       1.892400       2.347370
       6.877648       2.022483       2.290343
       6.907677       2.145248       2.247712
       6.937706       2.268386       2.216234
       6.967735       2.386130       2.202942
       6.997764       2.487724       2.197030
       7.027793       2.582235       2.187463
       7.057822       2.674725       2.179744
       7.087851       2.759903       2.171057
       7.117880       2.844523       2.152740
       7.147909       2.940342       2.129781
       7.177938       3.047022       2.113341
       7.207967       3.157484       2.106450
       7.237996       3.268401       2.106659
       7.268025       3.379515       2.111873
       7.298054       3.492603       2.121044
       7.328083       3.609090       2.137150
       7.358112       3.724374       2.162554
       7.388141       3.834760       2.191337
       7.418170       3.947198       2.218528
       7.448199       4.068212       2.251747
       7.478228       4.189786       2.300412
       7.508257       4.297474       2.356628
       7.538286       4.396170       2.399366
       7.568315       4.511259       2.425234
       7.598344       4.656654       2.455307
       7.628373       4.825467       2.507076
       7.658402       5.010339       2.587235
       7.688431       5.205044       2.706233
       7.718460       5.389389       2.872735
       7.748489       5.539922       3.072242
       7.778519       5.660842       3.279059
       7.808548       5.772350       3.497281
       7.838577       5.861142       3.749232
       7.868606       5.889967       4.017844
       7.898635       5.865533       4.251100
       7.928664       5.836626       4.440853
       7.958693       5.811866       4.610233
       7.988722       5.799982       4.742397
       8.018751       5.862685       4.856359
       8.048780       6.011754       5.050077
       8.078809       6.157795       5.395966
       8.108838       6.186309       5.870411
       8.138867       6.034415       6.387059
       8.168896       5.691173       6.842037
       8.198925       5.221586       7.128603
       8.228954       4.745600       7.231525
       8.258983       4.320423       7.193473
       8.289012       3.994560       7.033052
       8.319041       3.830461       6.820894
       8.349070       3.813151       6.666162
       8.379099       3.858780       6.623482
       8.409128       3.891962       6.676168
       8.439157       3.877206       6.781357
       8.469186       3.811278       6.894572
       8.499215       3.715180       6.984828
       8.529244       3.626437       7.037638
       8.559273       3.598254       7.077782
       8.589302       3.649411       7.191370
       8.619331       3.694785       7.472971
       8.649360       3.571929       7.901652
       8.679389       3.190990       8.320621
       8.709418       2.601529       8.556386
       8.739447       1.960904       8.504534
       8.769476       1.471096       8.206154
       8.799506       1.230589       7.843352
       8.829535       1.163919       7.591512
       8.859564       1.106534       7.487396
       8.889593       0.960310       7.426075
       8.919622       0.771318       7.301155
       8.949651       0.627318       7.120502
       8.979680       0.540876       6.947334
       9.009709       0.471713       6.802164
       9.039738       0.398132       6.663978
       9.069767       0.323779       6.509139
       9.099796       0.273853       6.318153
       9.129825       0.298382       6.103809
       9.159854       0.418628       5.934537
       9.189883       0.585910       5.869204
       9.219912       0.735138       5.912729
       9.249941       0.815553       6.039448
       9.279970       0.798920       6.199192
       9.309999       0.695409       6.345060
       9.340028       0.521072       6.456250
       9.370057       0.278910       6.505330
       9.400086       0.004966       6.440572
       9.430115      -0.207954       6.262623
       9.460144      -0.314953       6.054364
       9.490173      -0.347972       5.879099
       9.520202      -0.354217       5.755403
       9.550231      -0.372447       5.667467
       9.580260      -0.410955       5.585481
       9.610289      -0.460887       5.495428
       9.640318      -0.522351       5.387722
       9.670347      -0.579511       5.232673
       9.700376      -0.571663       5.033296
       9.730405      -0.473569       4.860837
       9.760434      -0.335230       4.764397
       9.790463      -0.203078       4.730430
       9.820492      -0.083280       4.741722
       9.850522       0.012306       4.802332
       9.880551       0.059776       4.896367
       9.910580       0.061356       5.000523
       9.940609       0.014637       5.117570
       9.970638      -0.115549       5.221380
      10.000667      -0.311631       5.231676
      10.030696      -0.472159       5.123592
      10.060725      -0.524291       4.976794
      10.090754      -0.496386       4.886750
      10.120783      -0.471796       4.874207
      10.150812      -0.493671       4.888282
      10.180841      -0.539367       4.892726
      10.210870      -0.591658       4.903086
      10.240899      -0.677277       4.928753
      10.270928      -0.820597       4.933506
      10.300957      -0.996528       4.865829
