  # energy grid [eV]     epsr     epsi
       0.001000      -0.000879       0.000000
       0.031029      -0.000879       0.000000
       0.061058      -0.000880      -0.000000
       0.091087      -0.000880      -0.000001
       0.121116      -0.000880      -0.000001
       0.151145      -0.000881      -0.000001
       0.181174      -0.000881      -0.000002
       0.211203      -0.000882      -0.000002
       0.241232      -0.000883      -0.000002
       0.271261      -0.000883      -0.000003
       0.301290      -0.000884      -0.000003
       0.331319      -0.000885      -0.000003
       0.361348      -0.000887      -0.000004
       0.391377      -0.000888      -0.000004
       0.421406      -0.000889      -0.000004
       0.451435      -0.000891      -0.000005
       0.481464      -0.000892      -0.000005
       0.511493      -0.000894      -0.000005
       0.541523      -0.000896      -0.000006
       0.571552      -0.000898      -0.000006
       0.601581      -0.000900      -0.000007
       0.631610      -0.000902      -0.000007
       0.661639      -0.000904      -0.000007
       0.691668      -0.000907      -0.000008
       0.721697      -0.000909      -0.000008
       0.751726      -0.000912      -0.000009
       0.781755      -0.000915      -0.000009
       0.811784      -0.000917      -0.000009
       0.841813      -0.000920      -0.000010
       0.871842      -0.000924      -0.000010
       0.901871      -0.000927      -0.000011
       0.931900      -0.000930      -0.000011
       0.961929      -0.000934      -0.000012
       0.991958      -0.000937      -0.000012
       1.021987      -0.000941      -0.000012
       1.052016      -0.000945      -0.000013
       1.082045      -0.000949      -0.000013
       1.112074      -0.000954      -0.000014
       1.142103      -0.000958      -0.000015
       1.172132      -0.000962      -0.000015
       1.202161      -0.000967      -0.000016
       1.232190      -0.000972      -0.000016
       1.262219      -0.000977      -0.000017
       1.292248      -0.000982      -0.000017
       1.322277      -0.000988      -0.000018
       1.352306      -0.000993      -0.000019
       1.382335      -0.000999      -0.000019
       1.412364      -0.001005      -0.000020
       1.442393      -0.001011      -0.000020
       1.472422      -0.001018      -0.000021
       1.502451      -0.001024      -0.000022
       1.532480      -0.001031      -0.000023
       1.562510      -0.001038      -0.000023
       1.592539      -0.001045      -0.000024
       1.622568      -0.001053      -0.000025
       1.652597      -0.001061      -0.000026
       1.682626      -0.001069      -0.000027
       1.712655      -0.001077      -0.000028
       1.742684      -0.001085      -0.000029
       1.772713      -0.001094      -0.000029
       1.802742      -0.001103      -0.000030
       1.832771      -0.001113      -0.000032
       1.862800      -0.001122      -0.000033
       1.892829      -0.001132      -0.000034
       1.922858      -0.001143      -0.000035
       1.952887      -0.001154      -0.000036
       1.982916      -0.001165      -0.000037
       2.012945      -0.001176      -0.000039
       2.042974      -0.001188      -0.000040
       2.073003      -0.001200      -0.000041
       2.103032      -0.001213      -0.000043
       2.133061      -0.001226      -0.000045
       2.163090      -0.001240      -0.000046
       2.193119      -0.001254      -0.000048
       2.223148      -0.001269      -0.000050
       2.253177      -0.001284      -0.000052
       2.283206      -0.001300      -0.000054
       2.313235      -0.001316      -0.000056
       2.343264      -0.001333      -0.000058
       2.373293      -0.001351      -0.000060
       2.403322      -0.001369      -0.000063
       2.433351      -0.001389      -0.000065
       2.463380      -0.001409      -0.000068
       2.493409      -0.001429      -0.000071
       2.523438      -0.001451      -0.000074
       2.553467      -0.001474      -0.000077
       2.583496      -0.001497      -0.000081
       2.613526      -0.001522      -0.000084
       2.643555      -0.001547      -0.000088
       2.673584      -0.001574      -0.000092
       2.703613      -0.001602      -0.000097
       2.733642      -0.001632      -0.000102
       2.763671      -0.001663      -0.000107
       2.793700      -0.001696      -0.000113
       2.823729      -0.001730      -0.000119
       2.853758      -0.001766      -0.000125
       2.883787      -0.001804      -0.000132
       2.913816      -0.001844      -0.000140
       2.943845      -0.001887      -0.000149
       2.973874      -0.001932      -0.000158
       3.003903      -0.001980      -0.000168
       3.033932      -0.002031      -0.000179
       3.063961      -0.002085      -0.000192
       3.093990      -0.002144      -0.000206
       3.124019      -0.002206      -0.000222
       3.154048      -0.002273      -0.000239
       3.184077      -0.002344      -0.000259
       3.214106      -0.002422      -0.000282
       3.244135      -0.002506      -0.000309
       3.274164      -0.002598      -0.000339
       3.304193      -0.002698      -0.000376
       3.334222      -0.002808      -0.000419
       3.364251      -0.002928      -0.000471
       3.394280      -0.003059      -0.000535
       3.424309      -0.003203      -0.000613
       3.454338      -0.003360      -0.000711
       3.484367      -0.003532      -0.000832
       3.514396      -0.003720      -0.000989
       3.544425      -0.003916      -0.001200
       3.574454      -0.004097      -0.001478
       3.604483      -0.004216      -0.001823
       3.634513      -0.004237      -0.002165
       3.664542      -0.004238      -0.002433
       3.694571      -0.004315      -0.002691
       3.724600      -0.004451      -0.003051
       3.754629      -0.004549      -0.003569
       3.784658      -0.004524      -0.004228
       3.814687      -0.004262      -0.005024
       3.844716      -0.003562      -0.005757
       3.874745      -0.002616      -0.005979
       3.904774      -0.002022      -0.005844
       3.934803      -0.001614      -0.005931
       3.964832      -0.000908      -0.006031
       3.994861      -0.000101      -0.005699
       4.024890       0.000329      -0.005016
       4.054919       0.000332      -0.004478
       4.084948       0.000306      -0.004101
       4.114977       0.000052      -0.003679
       4.145006      -0.000579      -0.003603
       4.175035      -0.001205      -0.004349
       4.205064      -0.000756      -0.005748
       4.235093       0.001009      -0.006332
       4.265122       0.002724      -0.005238
       4.295151       0.002870      -0.003369
       4.325180       0.001836      -0.002614
       4.355209       0.001509      -0.003020
