  # energy grid [eV]     epsr     epsi
       0.001000      -0.000239      -0.000001
       0.031029      -0.000239      -0.000002
       0.061058      -0.000239      -0.000002
       0.091087      -0.000239      -0.000002
       0.121116      -0.000239      -0.000002
       0.151145      -0.000239      -0.000002
       0.181174      -0.000239      -0.000002
       0.211203      -0.000240      -0.000002
       0.241232      -0.000240      -0.000003
       0.271261      -0.000240      -0.000003
       0.301290      -0.000241      -0.000003
       0.331319      -0.000241      -0.000003
       0.361348      -0.000242      -0.000003
       0.391377      -0.000242      -0.000003
       0.421406      -0.000243      -0.000003
       0.451435      -0.000243      -0.000003
       0.481464      -0.000244      -0.000004
       0.511493      -0.000245      -0.000004
       0.541523      -0.000245      -0.000004
       0.571552      -0.000246      -0.000004
       0.601581      -0.000247      -0.000004
       0.631610      -0.000248      -0.000004
       0.661639      -0.000249      -0.000005
       0.691668      -0.000249      -0.000005
       0.721697      -0.000250      -0.000005
       0.751726      -0.000252      -0.000005
       0.781755      -0.000253      -0.000005
       0.811784      -0.000254      -0.000005
       0.841813      -0.000255      -0.000006
       0.871842      -0.000256      -0.000006
       0.901871      -0.000257      -0.000006
       0.931900      -0.000259      -0.000006
       0.961929      -0.000260      -0.000006
       0.991958      -0.000262      -0.000006
       1.021987      -0.000263      -0.000007
       1.052016      -0.000265      -0.000007
       1.082045      -0.000266      -0.000007
       1.112074      -0.000268      -0.000007
       1.142103      -0.000270      -0.000007
       1.172132      -0.000272      -0.000008
       1.202161      -0.000274      -0.000008
       1.232190      -0.000276      -0.000008
       1.262219      -0.000278      -0.000008
       1.292248      -0.000280      -0.000009
       1.322277      -0.000282      -0.000009
       1.352306      -0.000284      -0.000009
       1.382335      -0.000287      -0.000009
       1.412364      -0.000289      -0.000010
       1.442393      -0.000291      -0.000010
       1.472422      -0.000294      -0.000010
       1.502451      -0.000297      -0.000011
       1.532480      -0.000300      -0.000011
       1.562510      -0.000302      -0.000011
       1.592539      -0.000305      -0.000012
       1.622568      -0.000308      -0.000012
       1.652597      -0.000312      -0.000012
       1.682626      -0.000315      -0.000013
       1.712655      -0.000318      -0.000013
       1.742684      -0.000322      -0.000014
       1.772713      -0.000326      -0.000014
       1.802742      -0.000329      -0.000014
       1.832771      -0.000333      -0.000015
       1.862800      -0.000337      -0.000015
       1.892829      -0.000342      -0.000016
       1.922858      -0.000346      -0.000016
       1.952887      -0.000351      -0.000017
       1.982916      -0.000355      -0.000018
       2.012945      -0.000360      -0.000018
       2.042974      -0.000365      -0.000019
       2.073003      -0.000370      -0.000019
       2.103032      -0.000376      -0.000020
       2.133061      -0.000382      -0.000021
       2.163090      -0.000387      -0.000022
       2.193119      -0.000394      -0.000022
       2.223148      -0.000400      -0.000023
       2.253177      -0.000407      -0.000024
       2.283206      -0.000413      -0.000025
       2.313235      -0.000421      -0.000026
       2.343264      -0.000428      -0.000027
       2.373293      -0.000436      -0.000028
       2.403322      -0.000444      -0.000029
       2.433351      -0.000453      -0.000031
       2.463380      -0.000461      -0.000032
       2.493409      -0.000471      -0.000033
       2.523438      -0.000480      -0.000035
       2.553467      -0.000491      -0.000037
       2.583496      -0.000501      -0.000038
       2.613526      -0.000512      -0.000040
       2.643555      -0.000524      -0.000042
       2.673584      -0.000537      -0.000044
       2.703613      -0.000550      -0.000047
       2.733642      -0.000563      -0.000049
       2.763671      -0.000578      -0.000052
       2.793700      -0.000593      -0.000055
       2.823729      -0.000609      -0.000058
       2.853758      -0.000626      -0.000061
       2.883787      -0.000644      -0.000065
       2.913816      -0.000664      -0.000069
       2.943845      -0.000684      -0.000074
       2.973874      -0.000706      -0.000079
       3.003903      -0.000729      -0.000084
       3.033932      -0.000754      -0.000090
       3.063961      -0.000781      -0.000097
       3.093990      -0.000810      -0.000104
       3.124019      -0.000841      -0.000113
       3.154048      -0.000874      -0.000123
       3.184077      -0.000910      -0.000134
       3.214106      -0.000950      -0.000146
       3.244135      -0.000993      -0.000161
       3.274164      -0.001040      -0.000178
       3.304193      -0.001092      -0.000198
       3.334222      -0.001148      -0.000222
       3.364251      -0.001211      -0.000251
       3.394280      -0.001280      -0.000286
       3.424309      -0.001354      -0.000329
       3.454338      -0.001435      -0.000381
       3.484367      -0.001525      -0.000442
       3.514396      -0.001631      -0.000517
       3.544425      -0.001754      -0.000625
       3.574454      -0.001876      -0.000784
       3.604483      -0.001965      -0.000991
       3.634513      -0.002004      -0.001219
       3.664542      -0.002000      -0.001438
       3.694571      -0.001983      -0.001640
       3.724600      -0.001977      -0.001847
       3.754629      -0.001977      -0.002103
       3.784658      -0.001918      -0.002442
       3.814687      -0.001706      -0.002815
       3.844716      -0.001302      -0.003065
       3.874745      -0.000896      -0.002992
       3.904774      -0.000872      -0.002769
       3.934803      -0.001146      -0.002898
       3.964832      -0.001231      -0.003453
       3.994861      -0.000894      -0.004100
       4.024890      -0.000248      -0.004566
       4.054919       0.000550      -0.004790
       4.084948       0.001437      -0.004762
       4.114977       0.002328      -0.004390
       4.145006       0.002994      -0.003680
       4.175035       0.003289      -0.002773
       4.205064       0.003007      -0.001920
       4.235093       0.002372      -0.001731
       4.265122       0.002209      -0.002178
       4.295151       0.002805      -0.002506
       4.325180       0.003722      -0.002130
       4.355209       0.004246      -0.001047
       4.385238       0.003959       0.000186
       4.415267       0.003039       0.000887
       4.445296       0.002157       0.000843
       4.475325       0.001762       0.000443
       4.505354       0.001856       0.000175
       4.535383       0.002051       0.000341
       4.565412       0.001940       0.000719
       4.595441       0.001562       0.000963
       4.625470       0.001107       0.000971
       4.655499       0.000713       0.000742
       4.685529       0.000554       0.000314
       4.715558       0.000779      -0.000035
       4.745587       0.001119       0.000000
       4.775616       0.001210       0.000255
       4.805645       0.001099       0.000402
       4.835674       0.001055       0.000418
       4.865703       0.001118       0.000566
       4.895732       0.000970       0.000887
       4.925761       0.000564       0.001027
       4.955790       0.000178       0.000907
       4.985819      -0.000069       0.000635
       5.015848      -0.000090       0.000336
       5.045877       0.000009       0.000273
       5.075906      -0.000178       0.000335
       5.105935      -0.000508       0.000018
       5.135964      -0.000465      -0.000544
       5.165993      -0.000061      -0.000923
       5.196022       0.000437      -0.000967
       5.226051       0.000790      -0.000738
       5.256080       0.000897      -0.000453
       5.286109       0.000887      -0.000257
       5.316138       0.000842      -0.000094
       5.346167       0.000722       0.000042
       5.376196       0.000528       0.000081
       5.406225       0.000349      -0.000033
       5.436254       0.000296      -0.000244
       5.466283       0.000376      -0.000451
       5.496312       0.000570      -0.000624
       5.526341       0.000920      -0.000679
       5.556370       0.001286      -0.000435
       5.586399       0.001373       0.000007
       5.616428       0.001181       0.000346
       5.646457       0.000884       0.000497
       5.676486       0.000579       0.000445
       5.706516       0.000404       0.000219
       5.736545       0.000438      -0.000054
       5.766574       0.000676      -0.000222
       5.796603       0.000968      -0.000153
       5.826632       0.001126       0.000063
       5.856661       0.001166       0.000290
       5.886690       0.001141       0.000510
       5.916719       0.001049       0.000731
       5.946748       0.000854       0.000921
       5.976777       0.000593       0.000978
       6.006806       0.000427       0.000912
       6.036835       0.000371       0.000921
       6.066864       0.000204       0.001045
       6.096893      -0.000168       0.001027
       6.126922      -0.000464       0.000684
       6.156951      -0.000395       0.000266
       6.186980      -0.000122       0.000120
       6.217009       0.000042       0.000208
       6.247038       0.000033       0.000329
       6.277067      -0.000085       0.000368
       6.307096      -0.000205       0.000284
       6.337125      -0.000233       0.000142
       6.367154      -0.000202       0.000036
       6.397183      -0.000161      -0.000060
       6.427212      -0.000075      -0.000160
       6.457241       0.000069      -0.000213
       6.487270       0.000226      -0.000176
       6.517299       0.000345      -0.000066
       6.547328       0.000389       0.000110
       6.577357       0.000293       0.000279
       6.607386       0.000123       0.000306
       6.637415       0.000057       0.000222
       6.667444       0.000084       0.000213
       6.697473       0.000052       0.000264
       6.727503      -0.000015       0.000284
       6.757532      -0.000102       0.000302
       6.787561      -0.000232       0.000259
       6.817590      -0.000317       0.000137
       6.847619      -0.000326       0.000011
       6.877648      -0.000301      -0.000088
       6.907677      -0.000265      -0.000164
       6.937706      -0.000226      -0.000236
       6.967735      -0.000159      -0.000310
       6.997764      -0.000058      -0.000354
       7.027793       0.000052      -0.000353
       7.057822       0.000156      -0.000303
       7.087851       0.000211      -0.000207
       7.117880       0.000213      -0.000129
       7.147909       0.000223      -0.000065
       7.177938       0.000218       0.000042
       7.207967       0.000133       0.000162
       7.237996      -0.000030       0.000214
       7.268025      -0.000186       0.000154
       7.298054      -0.000259       0.000047
