  # energy grid [eV]     epsr     epsi
       0.001000       0.000119      -0.000001
       0.031029       0.000119      -0.000001
       0.061058       0.000119      -0.000001
       0.091087       0.000119      -0.000001
       0.121116       0.000119      -0.000001
       0.151145       0.000119      -0.000001
       0.181174       0.000119      -0.000001
       0.211203       0.000119      -0.000000
       0.241232       0.000119      -0.000000
       0.271261       0.000120      -0.000000
       0.301290       0.000120      -0.000000
       0.331319       0.000120      -0.000000
       0.361348       0.000120      -0.000000
       0.391377       0.000121       0.000000
       0.421406       0.000121       0.000000
       0.451435       0.000121       0.000000
       0.481464       0.000122       0.000000
       0.511493       0.000122       0.000000
       0.541523       0.000123       0.000000
       0.571552       0.000123       0.000001
       0.601581       0.000124       0.000001
       0.631610       0.000124       0.000001
       0.661639       0.000125       0.000001
       0.691668       0.000125       0.000001
       0.721697       0.000126       0.000001
       0.751726       0.000126       0.000001
       0.781755       0.000127       0.000001
       0.811784       0.000128       0.000001
       0.841813       0.000129       0.000001
       0.871842       0.000129       0.000002
       0.901871       0.000130       0.000002
       0.931900       0.000131       0.000002
       0.961929       0.000132       0.000002
       0.991958       0.000133       0.000002
       1.021987       0.000134       0.000002
       1.052016       0.000135       0.000002
       1.082045       0.000136       0.000002
       1.112074       0.000137       0.000003
       1.142103       0.000138       0.000003
       1.172132       0.000139       0.000003
       1.202161       0.000140       0.000003
       1.232190       0.000141       0.000003
       1.262219       0.000142       0.000003
       1.292248       0.000144       0.000003
       1.322277       0.000145       0.000004
       1.352306       0.000146       0.000004
       1.382335       0.000148       0.000004
       1.412364       0.000149       0.000004
       1.442393       0.000151       0.000004
       1.472422       0.000153       0.000004
       1.502451       0.000154       0.000005
       1.532480       0.000156       0.000005
       1.562510       0.000158       0.000005
       1.592539       0.000160       0.000005
       1.622568       0.000162       0.000006
       1.652597       0.000163       0.000006
       1.682626       0.000166       0.000006
       1.712655       0.000168       0.000006
       1.742684       0.000170       0.000007
       1.772713       0.000172       0.000007
       1.802742       0.000175       0.000007
       1.832771       0.000177       0.000007
       1.862800       0.000180       0.000008
       1.892829       0.000182       0.000008
       1.922858       0.000185       0.000008
       1.952887       0.000188       0.000009
       1.982916       0.000191       0.000009
       2.012945       0.000194       0.000010
       2.042974       0.000197       0.000010
       2.073003       0.000201       0.000010
       2.103032       0.000204       0.000011
       2.133061       0.000208       0.000011
       2.163090       0.000211       0.000012
       2.193119       0.000215       0.000012
       2.223148       0.000219       0.000013
       2.253177       0.000224       0.000014
       2.283206       0.000228       0.000014
       2.313235       0.000233       0.000015
       2.343264       0.000238       0.000016
       2.373293       0.000243       0.000016
       2.403322       0.000248       0.000017
       2.433351       0.000253       0.000018
       2.463380       0.000259       0.000019
       2.493409       0.000265       0.000020
       2.523438       0.000272       0.000021
       2.553467       0.000278       0.000022
       2.583496       0.000285       0.000023
       2.613526       0.000293       0.000024
       2.643555       0.000300       0.000026
       2.673584       0.000308       0.000027
       2.703613       0.000317       0.000029
       2.733642       0.000326       0.000030
       2.763671       0.000335       0.000032
       2.793700       0.000345       0.000034
       2.823729       0.000356       0.000036
       2.853758       0.000367       0.000038
       2.883787       0.000379       0.000041
