  # energy grid [eV]     epsr     epsi
       0.001000       0.000234       0.000002
       0.031029       0.000234       0.000002
       0.061058       0.000234       0.000002
       0.091087       0.000234       0.000002
       0.121116       0.000234       0.000002
       0.151145       0.000235       0.000002
       0.181174       0.000235       0.000002
       0.211203       0.000235       0.000003
       0.241232       0.000235       0.000003
       0.271261       0.000236       0.000003
       0.301290       0.000236       0.000003
       0.331319       0.000236       0.000003
       0.361348       0.000237       0.000003
       0.391377       0.000237       0.000003
       0.421406       0.000238       0.000003
       0.451435       0.000238       0.000004
       0.481464       0.000239       0.000004
       0.511493       0.000240       0.000004
       0.541523       0.000240       0.000004
       0.571552       0.000241       0.000004
       0.601581       0.000242       0.000004
       0.631610       0.000243       0.000004
       0.661639       0.000244       0.000005
       0.691668       0.000245       0.000005
       0.721697       0.000246       0.000005
       0.751726       0.000247       0.000005
       0.781755       0.000248       0.000005
       0.811784       0.000249       0.000005
       0.841813       0.000250       0.000006
       0.871842       0.000251       0.000006
       0.901871       0.000253       0.000006
       0.931900       0.000254       0.000006
       0.961929       0.000255       0.000006
       0.991958       0.000257       0.000007
       1.021987       0.000258       0.000007
       1.052016       0.000260       0.000007
       1.082045       0.000261       0.000007
       1.112074       0.000263       0.000007
       1.142103       0.000265       0.000008
       1.172132       0.000267       0.000008
       1.202161       0.000268       0.000008
       1.232190       0.000270       0.000008
       1.262219       0.000272       0.000008
       1.292248       0.000275       0.000009
       1.322277       0.000277       0.000009
       1.352306       0.000279       0.000009
       1.382335       0.000281       0.000009
       1.412364       0.000284       0.000010
       1.442393       0.000286       0.000010
       1.472422       0.000289       0.000010
       1.502451       0.000291       0.000011
       1.532480       0.000294       0.000011
       1.562510       0.000297       0.000011
       1.592539       0.000300       0.000012
       1.622568       0.000303       0.000012
       1.652597       0.000306       0.000012
       1.682626       0.000309       0.000013
       1.712655       0.000313       0.000013
       1.742684       0.000316       0.000014
       1.772713       0.000320       0.000014
       1.802742       0.000324       0.000014
       1.832771       0.000327       0.000015
       1.862800       0.000331       0.000015
       1.892829       0.000336       0.000016
       1.922858       0.000340       0.000016
       1.952887       0.000344       0.000017
       1.982916       0.000349       0.000017
       2.012945       0.000354       0.000018
       2.042974       0.000359       0.000019
       2.073003       0.000364       0.000019
       2.103032       0.000369       0.000020
       2.133061       0.000375       0.000021
       2.163090       0.000381       0.000022
       2.193119       0.000387       0.000022
       2.223148       0.000393       0.000023
       2.253177       0.000400       0.000024
       2.283206       0.000407       0.000025
       2.313235       0.000414       0.000026
       2.343264       0.000421       0.000027
       2.373293       0.000429       0.000028
       2.403322       0.000437       0.000029
       2.433351       0.000445       0.000031
       2.463380       0.000454       0.000032
       2.493409       0.000463       0.000033
       2.523438       0.000473       0.000035
       2.553467       0.000483       0.000036
       2.583496       0.000493       0.000038
       2.613526       0.000504       0.000040
       2.643555       0.000516       0.000042
       2.673584       0.000528       0.000044
       2.703613       0.000541       0.000046
       2.733642       0.000555       0.000049
       2.763671       0.000569       0.000051
       2.793700       0.000584       0.000054
       2.823729       0.000600       0.000057
       2.853758       0.000617       0.000061
       2.883787       0.000635       0.000064
       2.913816       0.000654       0.000068
       2.943845       0.000674       0.000073
       2.973874       0.000696       0.000078
       3.003903       0.000719       0.000083
       3.033932       0.000744       0.000089
       3.063961       0.000770       0.000096
       3.093990       0.000798       0.000103
       3.124019       0.000829       0.000112
       3.154048       0.000862       0.000121
       3.184077       0.000898       0.000132
       3.214106       0.000937       0.000145
       3.244135       0.000980       0.000159
       3.274164       0.001026       0.000176
       3.304193       0.001077       0.000196
       3.334222       0.001134       0.000220
       3.364251       0.001195       0.000248
       3.394280       0.001263       0.000283
       3.424309       0.001338       0.000326
       3.454338       0.001418       0.000378
       3.484367       0.001507       0.000438
       3.514396       0.001612       0.000513
       3.544425       0.001734       0.000620
       3.574454       0.001854       0.000779
       3.604483       0.001941       0.000984
       3.634513       0.001978       0.001209
       3.664542       0.001973       0.001425
       3.694571       0.001957       0.001623
       3.724600       0.001953       0.001827
       3.754629       0.001955       0.002083
       3.784658       0.001896       0.002422
       3.814687       0.001683       0.002794
       3.844716       0.001276       0.003043
       3.874745       0.000867       0.002966
       3.904774       0.000841       0.002733
       3.934803       0.001120       0.002851
       3.964832       0.001217       0.003400
       3.994861       0.000890       0.004048
       4.024890       0.000249       0.004514
       4.054919      -0.000538       0.004734
       4.084948      -0.001406       0.004714
       4.114977      -0.002288       0.004363
       4.145006      -0.002961       0.003675
       4.175035      -0.003277       0.002781
       4.205064      -0.003020       0.001918
       4.235093      -0.002388       0.001704
       4.265122      -0.002210       0.002138
       4.295151      -0.002791       0.002467
       4.325180      -0.003694       0.002101
       4.355209      -0.004220       0.001037
       4.385238      -0.003948      -0.000191
       4.415267      -0.003033      -0.000901
       4.445296      -0.002147      -0.000859
       4.475325      -0.001750      -0.000457
       4.505354      -0.001844      -0.000186
       4.535383      -0.002043      -0.000348
       4.565412      -0.001938      -0.000728
       4.595441      -0.001562      -0.000977
       4.625470      -0.001106      -0.000989
       4.655499      -0.000711      -0.000765
       4.685529      -0.000547      -0.000343
       4.715558      -0.000762       0.000007
       4.745587      -0.001095      -0.000021
       4.775616      -0.001185      -0.000268
       4.805645      -0.001077      -0.000405
