  # energy grid [eV]     epsr     epsi
       0.001000       6.548616       0.000031
       0.031029       6.548767       0.000977
       0.061058       6.549202       0.001924
       0.091087       6.549920       0.002871
       0.121116       6.550923       0.003819
       0.151145       6.552211       0.004770
       0.181174       6.553783       0.005722
       0.211203       6.555642       0.006677
       0.241232       6.557787       0.007635
       0.271261       6.560220       0.008596
       0.301290       6.562941       0.009562
       0.331319       6.565953       0.010531
       0.361348       6.569256       0.011506
       0.391377       6.572852       0.012485
       0.421406       6.576742       0.013471
       0.451435       6.580929       0.014462
       0.481464       6.585414       0.015461
       0.511493       6.590199       0.016466
       0.541523       6.595287       0.017479
       0.571552       6.600679       0.018501
       0.601581       6.606380       0.019531
       0.631610       6.612390       0.020570
       0.661639       6.618713       0.021620
       0.691668       6.625352       0.022679
       0.721697       6.632310       0.023750
       0.751726       6.639591       0.024832
       0.781755       6.647198       0.025926
       0.811784       6.655135       0.027034
       0.841813       6.663405       0.028154
       0.871842       6.672014       0.029289
       0.901871       6.680964       0.030439
       0.931900       6.690262       0.031604
       0.961929       6.699910       0.032785
       0.991958       6.709916       0.033984
       1.021987       6.720283       0.035200
       1.052016       6.731017       0.036435
       1.082045       6.742123       0.037690
       1.112074       6.753609       0.038965
       1.142103       6.765480       0.040261
       1.172132       6.777742       0.041580
       1.202161       6.790402       0.042922
       1.232190       6.803468       0.044289
       1.262219       6.816947       0.045681
       1.292248       6.830847       0.047099
       1.322277       6.845175       0.048546
       1.352306       6.859941       0.050021
       1.382335       6.875152       0.051527
       1.412364       6.890819       0.053064
       1.442393       6.906951       0.054635
       1.472422       6.923558       0.056240
       1.502451       6.940651       0.057882
       1.532480       6.958240       0.059561
       1.562510       6.976338       0.061280
       1.592539       6.994956       0.063041
       1.622568       7.014107       0.064845
       1.652597       7.033804       0.066694
       1.682626       7.054061       0.068591
       1.712655       7.074893       0.070538
       1.742684       7.096314       0.072537
       1.772713       7.118340       0.074591
       1.802742       7.140989       0.076702
       1.832771       7.164278       0.078874
       1.862800       7.188224       0.081108
       1.892829       7.212849       0.083410
       1.922858       7.238170       0.085781
       1.952887       7.264211       0.088227
       1.982916       7.290993       0.090749
       2.012945       7.318539       0.093353
       2.042974       7.346876       0.096043
       2.073003       7.376028       0.098824
